split,method,tag,lr,eff_b,mb,ga,alpha,beta1,beta2,gamma,epoch,checkpoint,checkpoint_step,FQ,MU,EM,ES,F-TR,Ra-TR,R-TR,Rw-TR,score,summary_path,eval_path
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-13,13,5.86730162802883e-14,0.6218825646440443,0.9770372721552849,0.7413712890241535,0.5060343238606511,0.6085714397444244,0.4639095460840942,0.5562020042374447,-0.23732171594561624,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-13/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-13/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-26,26,3.0799540915748314e-12,0.6207380887064908,0.9392768460512161,0.4645935693388585,0.5316952869733381,0.6136902579825404,0.4499869508770727,0.5289357378316067,-0.08119711898546647,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-26/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-26/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-39,39,2.4125498977354686e-08,0.6111854373942035,0.8809090688824653,0.28669686917279674,0.57077915639992,0.598762776255247,0.4443412556487663,0.5250981659924364,0.027382492492071392,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-39/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-39/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-52,52,2.9607827368482373e-05,0.6161403525677616,0.793020683452487,0.18866071184791863,0.5967908348861127,0.593600825721464,0.4486029609162675,0.539406143832115,0.12532926274492723,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-52/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-52/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-65,65,0.0009668691315127085,0.6227772729401915,0.7295449534337968,0.15865105880974434,0.6146225424874914,0.5980825448398374,0.4497922784027264,0.5515918494307471,0.1796461359499336,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-65/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-65/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-78,78,0.0014264303851701861,0.6293884298291478,0.7081916473945603,0.13331964207953997,0.613452153671011,0.6086217799212552,0.45096255734847834,0.55989627635597,0.21005921547726786,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-78/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-78/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-91,91,0.0004306111484986726,0.6298950155488973,0.6909914459381252,0.12289561822673917,0.6102534665832902,0.6093323462973524,0.45167459716376634,0.559716798201532,0.2233820946149637,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-91/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-91/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-104,104,0.0009668691315127085,0.6311128143771143,0.6822136164596304,0.12148687047555543,0.6148963222437009,0.6095372486263496,0.45168686556695303,0.5611794731758613,0.23022944004103407,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-104/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-104/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-117,117,0.0014264303851701861,0.630351172850133,0.6804126025829464,0.1211927528284966,0.6208828555944312,0.6089775149179478,0.4520265853534592,0.5615613737740136,0.23097492552958165,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-117/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-117/evals/TOFU_EVAL.json
forget05,SatImp,lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10,2e-5,16,8,2,0.01,6,1.0,a2,10,checkpoint-120,120,0.0030098470801667434,0.6308444289138094,0.6800511878309772,0.12067804694614365,0.61783750907417,0.6101523084090855,0.452033933327056,0.561114893531657,0.23348965860541573,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-120/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SatImp/lr2e-5_b16_mb8_ga2_a0.01_b15.0_b21.0_g0.1_e10/checkpoint-120/evals/TOFU_EVAL.json
