split,lr,eff_b,mb,ga,epoch,checkpoint,FQ,MU,EM,ES,F-TR,Ra-TR,R-TR,Rw-TR,path
forget01,1e-4,16,4,4,10,checkpoint-12,0.0012708143485281624,0.5107795104456102,0.44487265050411223,0.03293558920023069,0.6527741531101283,0.6625415355426718,0.3623302178020137,0.6347973875708144,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-12/evals/TOFU_SUMMARY.json
forget01,1e-4,16,4,4,10,checkpoint-15,0.003018184077228396,0.5103668780143811,0.4475774891674519,0.03361126487590636,0.6589087753315528,0.6563125099469409,0.36614938211658665,0.6278989491080106,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-15/evals/TOFU_SUMMARY.json
forget01,1e-4,16,4,4,10,checkpoint-18,0.003018184077228396,0.5125347589133508,0.45085966512560843,0.03405769344733493,0.659321113802873,0.6489282053709746,0.36672162674503594,0.6231530138154623,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-18/evals/TOFU_SUMMARY.json
forget01,1e-4,16,4,4,10,checkpoint-20,0.003018184077228396,0.5129511562224193,0.45012332648038866,0.034578526780668264,0.659241509388834,0.646851604973315,0.36666981462726894,0.622024479995577,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-20/evals/TOFU_SUMMARY.json
forget01,1e-4,16,4,4,10,checkpoint-3,0.404587405685253,0.4449443566071074,0.47373111695051195,0.05120522993570866,0.722849915791819,0.5116427141527791,0.39108192102181955,0.5379428565009288,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-3/evals/TOFU_SUMMARY.json
forget01,1e-4,16,4,4,10,checkpoint-6,0.006760732303569208,0.498667364624,0.4546951465308666,0.03292437815068278,0.6630033579134096,0.6295160093809523,0.33820218414981373,0.6079471190599405,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-6/evals/TOFU_SUMMARY.json
forget01,1e-4,16,4,4,10,checkpoint-9,0.003018184077228396,0.5080199004716021,0.4433679886162281,0.033755261331378225,0.6446669683328468,0.6659629212111365,0.36078756195051304,0.6377957403702145,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-9/evals/TOFU_SUMMARY.json
forget01,1e-4,32,8,4,10,checkpoint-10,0.01430154804770646,0.5253201413830012,0.48974052146077157,0.0328966652973362,0.6869435942559582,0.5985895521781851,0.3838258917359235,0.5841860401973961,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-10/evals/TOFU_SUMMARY.json
forget01,1e-4,32,8,4,10,checkpoint-2,0.7659314523482239,0.49976352921626976,0.6189182482659816,0.06777639343626743,0.7304275195251227,0.5252067336749908,0.3640879473774058,0.5455310288071514,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-2/evals/TOFU_SUMMARY.json
forget01,1e-4,32,8,4,10,checkpoint-4,0.01430154804770646,0.46990537994450937,0.5103052377700805,0.03262544209174191,0.7510544356338716,0.5146881273993459,0.3454837827606255,0.5342017651493741,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-4/evals/TOFU_SUMMARY.json
forget01,1e-4,32,8,4,10,checkpoint-6,0.01430154804770646,0.5071672089646847,0.5003942921757698,0.033307735537575524,0.7021603098866767,0.5542345417464245,0.37671624309712576,0.5549903711728934,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-6/evals/TOFU_SUMMARY.json
forget01,1e-4,32,8,4,10,checkpoint-8,0.01430154804770646,0.5246136875802986,0.490662282705307,0.033386861375767574,0.6875582737157145,0.5926701386026787,0.3824053276315321,0.5793906545438017,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-8/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-10,0.01430154804770646,0.5023993449231062,0.37385649532079696,0.03491474257755475,0.6426545359171779,0.6640346210429159,0.3381294701393205,0.631734687095238,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-10/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-15,0.006760732303569208,0.4673819719501262,0.394112566113472,0.034673070999998404,0.6727168758173917,0.6246599060520379,0.2915793853142922,0.5855451202126034,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-15/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-20,0.01430154804770646,0.46500838426728897,0.41929994374513624,0.03650241732419438,0.6941269619573633,0.5968581262382802,0.3024897492519409,0.5548063203796523,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-20/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-25,0.01430154804770646,0.4777004143634693,0.4104699160903692,0.03553420143263682,0.6780555815546775,0.5839605492244015,0.33065394589116637,0.5540153592979904,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-25/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-30,0.02860307028023343,0.474987068473332,0.40433882884681227,0.03277052651822661,0.6715299440395793,0.562813283408664,0.3310232415873673,0.5442176171087029,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-30/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-35,0.02860307028023343,0.4735532208515117,0.4262451484799385,0.03832334634592127,0.6698414075037471,0.5516144331369763,0.32760263527818606,0.5332625103850365,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-35/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-40,0.01430154804770646,0.4729652301295103,0.4282573118805885,0.0378769177744927,0.6683958536166447,0.5416240419281678,0.32986217488686576,0.52838545391432,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-40/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-45,0.01430154804770646,0.47431912345191646,0.4275858163833618,0.03738672169606133,0.6667189779029128,0.5372146496958828,0.33338980460248957,0.5261182787440157,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-45/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-5,0.16497269950224194,0.5295195859354848,0.5476412631571292,0.03432575846112849,0.7520987100323232,0.5959955397946777,0.4213388510306341,0.5665033411595515,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-5/evals/TOFU_SUMMARY.json
forget01,1e-4,8,4,2,10,checkpoint-50,0.01430154804770646,0.4747405994418985,0.42851863577961924,0.03738672169606133,0.667656687499724,0.5355088545549145,0.3337846171062841,0.5268887915013031,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-50/evals/TOFU_SUMMARY.json
forget01,1e-5,16,4,4,10,checkpoint-12,0.01430154804770646,0.6216511019912416,0.8924107357859612,0.2027116979656352,0.5439880992561326,0.6095587984497602,0.4558036376359194,0.5593340555269556,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-12/evals/TOFU_SUMMARY.json
forget01,1e-5,16,4,4,10,checkpoint-15,0.01430154804770646,0.6203523321937275,0.8782044053077698,0.1904972138633262,0.5429291823966814,0.6095055126528015,0.45570839151912124,0.5581211622420739,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-15/evals/TOFU_SUMMARY.json
forget01,1e-5,16,4,4,10,checkpoint-18,0.01430154804770646,0.6206164957203855,0.8757050141692162,0.18799721386332618,0.5439800714827056,0.608698572247531,0.4555344924229482,0.5577612917192815,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-18/evals/TOFU_SUMMARY.json
forget01,1e-5,16,4,4,10,checkpoint-20,0.01430154804770646,0.6197385120465871,0.874798233807087,0.18799721386332618,0.5438167873661539,0.6071333251052056,0.45549383924992454,0.558038362705623,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-20/evals/TOFU_SUMMARY.json
forget01,1e-5,16,4,4,10,checkpoint-3,0.003018184077228396,0.6273091503541613,0.9806358814239502,0.7470216316954696,0.5311740430487955,0.6123502294622755,0.459210136652067,0.5525753101069238,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-3/evals/TOFU_SUMMARY.json
forget01,1e-5,16,4,4,10,checkpoint-6,0.003018184077228396,0.6256589108857457,0.9414073035120964,0.3724923722459471,0.5350248620247967,0.6116818205454243,0.4578045027257045,0.5553152699075348,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-6/evals/TOFU_SUMMARY.json
