split,lr,eff_b,mb,ga,epoch,checkpoint,FQ,MU,EM,ES,F-TR,Ra-TR,R-TR,Rw-TR,path
forget05,1e-5,32,8,4,5,checkpoint-30,2.9623487356936016e-13,0.6218764401333533,0.9676439455151558,0.6556941901584707,0.5243978366068333,0.6128300777381367,0.460715937149904,0.551650382041652,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e5/checkpoint-30/evals/TOFU_SUMMARY.json
forget05,1e-5,8,4,2,10,checkpoint-250,9.594235055800515e-10,0.5695569826294439,0.8961017554998398,0.27482968302248273,0.562338243041172,0.5671938745315803,0.4607716476142379,0.5268698362004408,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-250/evals/TOFU_SUMMARY.json
forget05,1e-5,8,4,2,5,checkpoint-125,6.5689645859369454e-12,0.5607618770696332,0.9444172847270965,0.4553157913635144,0.5456067739698061,0.5848732560447697,0.4569894751482918,0.5303282811330251,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e5/checkpoint-125/evals/TOFU_SUMMARY.json
forget05,2e-5,16,4,4,10,checkpoint-120,7.536785951251345e-05,0.5859556366982266,0.740828971862793,0.09961304965221662,0.6406181050706699,0.5850254775904628,0.4507894129266522,0.5475729318783934,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-120/evals/TOFU_SUMMARY.json
forget05,2e-5,16,4,4,5,checkpoint-60,1.8694649189611297e-09,0.5456789295117238,0.8335577812790871,0.17611381508757185,0.6103899685258968,0.586683491643264,0.43379408755954174,0.5408963980495615,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e5/checkpoint-60/evals/TOFU_SUMMARY.json
forget05,2e-5,32,8,4,10,checkpoint-60,4.7487878961137165e-05,0.5680421632140533,0.7870208507776261,0.1394774794847566,0.6327511149824455,0.5847961134695158,0.45490414474405044,0.530254608168004,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b32_mb8_ga4_e10/checkpoint-60/evals/TOFU_SUMMARY.json
forget05,2e-5,32,8,4,5,checkpoint-30,3.602472544567432e-09,0.5525529274656482,0.8706048837304116,0.23654080977290065,0.5926199581772675,0.6016884797900729,0.4424095666115849,0.5373566294057993,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b32_mb8_ga4_e5/checkpoint-30/evals/TOFU_SUMMARY.json
forget05,2e-5,8,4,2,10,checkpoint-250,0.32811544409418575,0.6419905937415639,0.6607823978364468,0.06832420914379235,0.6461304794527729,0.6604118547669563,0.4686459226056288,0.572245172604985,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b8_mb4_ga2_e10/checkpoint-250/evals/TOFU_SUMMARY.json
forget05,2e-5,8,4,2,5,checkpoint-125,0.0009668691315127085,0.5867922197156238,0.7222260110080242,0.08875650900265449,0.6552897002854603,0.6063127962416803,0.4536053975181544,0.5486946199498781,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b8_mb4_ga2_e5/checkpoint-125/evals/TOFU_SUMMARY.json
forget05,5e-5,16,4,4,10,checkpoint-120,0.016258459276759563,0.5657431798607582,0.5057407448813319,0.053094359390703075,0.6576558155741159,0.5764513878226802,0.42798014030703896,0.538112709737684,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b16_mb4_ga4_e10/checkpoint-120/evals/TOFU_SUMMARY.json
forget05,5e-5,16,4,4,5,checkpoint-60,0.0220923622208589,0.5781661517505732,0.5347294649668037,0.05800360147832304,0.6677534235657089,0.606605715329264,0.4277622227737409,0.5807856529288925,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b16_mb4_ga4_e5/checkpoint-60/evals/TOFU_SUMMARY.json
forget05,5e-5,32,8,4,10,checkpoint-60,0.1420746514551761,0.5803606261855307,0.532822253704071,0.05439111520185264,0.6848757294491822,0.5547216504548708,0.44614266434515615,0.5710674573473277,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b32_mb8_ga4_e10/checkpoint-60/evals/TOFU_SUMMARY.json
forget05,5e-5,32,8,4,5,checkpoint-30,0.6284308022715471,0.5515710847479998,0.5859133243560791,0.06159547935567423,0.7056037571703111,0.5618643189150665,0.42585339310994313,0.5871071930106411,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b32_mb8_ga4_e5/checkpoint-30/evals/TOFU_SUMMARY.json
forget05,5e-5,8,4,2,10,checkpoint-250,0.03956202584899502,0.5555130163511411,0.4672475448437035,0.04946905613490388,0.6882665197909175,0.5230560696973735,0.4277769676994122,0.518331770985834,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b8_mb4_ga2_e10/checkpoint-250/evals/TOFU_SUMMARY.json
forget05,5e-5,8,4,2,5,checkpoint-125,0.1420746514551761,0.5495658813400438,0.47436468079686167,0.051757648243585315,0.680778192279674,0.5440807219209117,0.4251677306504873,0.5472210939909379,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b8_mb4_ga2_e5/checkpoint-125/evals/TOFU_SUMMARY.json
forget10,1e-5,8,4,2,5,checkpoint-250,1.02724452984523e-14,0.5266360673455128,0.8879922120273114,0.252293227503161,0.6213848714116884,0.5773677453943306,0.3912951146172744,0.5319121676877946,saves/unlearn/tofu/forget10/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e5/checkpoint-250/evals/TOFU_SUMMARY.json
