method,split,tag,lr,eff_b,mb,ga,epochs,checkpoint,ckpt_step,FQ,MU,EM,ES,F-TR,Ra-TR,R-TR,Rw-TR,score,is_config_best,is_split_best,is_global_top30,summary_path,eval_path
NPO,forget01,lr1e-4_b32_mb8_ga4_e10,1e-4,32,8,4,10,checkpoint-10,10,0.01430154804770646,0.5253201413830012,0.48974052146077157,0.0328966652973362,0.6869435942559582,,,,0.2783030960516538,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-10/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-10/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-5,5,0.16497269950224194,0.5295195859354848,0.5476412631571292,0.03432575846112849,0.7520987100323232,,,,0.4035087746285978,True,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-5/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-5/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-10,10,0.01430154804770646,0.5023993449231062,0.37385649532079696,0.03491474257755475,0.6426545359171779,,,,0.3123152740216368,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-10/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-10/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-15,15,0.006760732303569208,0.4673819719501262,0.394112566113472,0.034673070999998404,0.6727168758173917,,,,0.2597498856969602,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-15/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-15/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-20,20,0.01430154804770646,0.46500838426728897,0.41929994374513624,0.03650241732419438,0.6941269619573633,,,,0.2514087517803301,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-20/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-20/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-25,25,0.01430154804770646,0.4777004143634693,0.4104699160903692,0.03553420143263682,0.6780555815546775,,,,0.2689999036496727,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-25/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-25/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-30,30,0.02860307028023343,0.474987068473332,0.40433882884681227,0.03277052651822661,0.6715299440395793,,,,0.28503546107104594,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-30/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-30/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-35,35,0.02860307028023343,0.4735532208515117,0.4262451484799385,0.03832334634592127,0.6698414075037471,,,,0.2698720437188152,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-35/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-35/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-40,40,0.01430154804770646,0.4729652301295103,0.4282573118805885,0.0378769177744927,0.6683958536166447,,,,0.25419966334967614,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-40/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-40/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-45,45,0.01430154804770646,0.47431912345191646,0.4275858163833618,0.03738672169606133,0.6667189779029128,,,,0.25613440245991137,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-45/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-45/evals/TOFU_EVAL.json
NPO,forget01,lr1e-4_b8_mb4_ga2_e10,1e-4,8,4,2,10,checkpoint-50,50,0.01430154804770646,0.4747405994418985,0.42851863577961924,0.03738672169606133,0.667656687499724,,,,0.25608946875176464,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-50/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b8_mb4_ga2_e10/checkpoint-50/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b16_mb4_ga4_e10,1e-5,16,4,4,10,checkpoint-3,3,0.003018184077228396,0.6273091503541613,0.9806358814239502,0.7470216316954696,0.5311740430487955,,,,-0.23350142212832015,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-3/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-3/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b16_mb4_ga4_e10,1e-5,16,4,4,10,checkpoint-6,6,0.003018184077228396,0.6256589108857457,0.9414073035120964,0.3724923722459471,0.5350248620247967,,,,-0.0282727429160477,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-6/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-6/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b16_mb4_ga4_e10,1e-5,16,4,4,10,checkpoint-9,9,0.006760732303569208,0.6233274707669462,0.910761621594429,0.24243747109537267,0.5402089914827588,,,,0.053488656725614564,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-9/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-9/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b16_mb4_ga4_e10,1e-5,16,4,4,10,checkpoint-12,12,0.01430154804770646,0.6216511019912416,0.8924107357859612,0.2027116979656352,0.5439880992561326,,,,0.08839143316314987,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-12/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-12/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b16_mb4_ga4_e10,1e-5,16,4,4,10,checkpoint-15,15,0.01430154804770646,0.6203523321937275,0.8782044053077698,0.1904972138633262,0.5429291823966814,,,,0.100303070655886,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-15/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-15/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b16_mb4_ga4_e10,1e-5,16,4,4,10,checkpoint-18,18,0.01430154804770646,0.6206164957203855,0.8757050141692162,0.18799721386332618,0.5439800714827056,,,,0.10306692975182072,True,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-18/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-18/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b16_mb4_ga4_e10,1e-5,16,4,4,10,checkpoint-20,20,0.01430154804770646,0.6197385120465871,0.874798233807087,0.18799721386332618,0.5438167873661539,,,,0.102642336259087,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-20/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b16_mb4_ga4_e10/checkpoint-20/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b32_mb8_ga4_e10,1e-5,32,8,4,10,checkpoint-2,2,0.003018184077228396,0.6255103766122531,0.9844205573201179,0.7882083089520047,0.5312305382165692,,,,-0.2577858724465798,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-2/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-2/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b32_mb8_ga4_e10,1e-5,32,8,4,10,checkpoint-4,4,0.003018184077228396,0.6258600008484416,0.954597356915474,0.4959317130854421,0.533773702424979,,,,-0.09638635007478799,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-4/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-4/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b32_mb8_ga4_e10,1e-5,32,8,4,10,checkpoint-6,6,0.006760732303569208,0.6243232628311953,0.9390252619981766,0.34566485731025004,0.5362933384673694,,,,-0.011261064519448777,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-6/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-6/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b32_mb8_ga4_e10,1e-5,32,8,4,10,checkpoint-8,8,0.006760732303569208,0.6229012627834702,0.9286014452576637,0.295741083973164,0.5376317425868791,,,,0.017490730471625582,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-8/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-8/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b32_mb8_ga4_e10,1e-5,32,8,4,10,checkpoint-10,10,0.006760732303569208,0.623041513966938,0.9256260186433792,0.2850821692444819,0.5377122310878366,,,,0.024448152326576628,True,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-10/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b32_mb8_ga4_e10/checkpoint-10/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-5,5,0.003018184077228396,0.627698775954663,0.9886560395359993,0.863547823844495,0.5332232377885195,,,,-0.2953849716583558,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-5/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-5/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-10,10,0.003018184077228396,0.6253718325377953,0.9370157524943352,0.3441364971589684,0.5344737202971033,,,,-0.012186108211628105,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-10/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-10/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-15,15,0.006760732303569208,0.6208504466567325,0.8861199542880058,0.2183024906726315,0.5387041069097555,,,,0.07539995647998306,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-15/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-15/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-20,20,0.01430154804770646,0.6159796738737996,0.8553610250353814,0.1747260966102784,0.5432922161141196,,,,0.11523766109867616,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-20/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-20/evals/TOFU_EVAL.json
