split,num_forget_samples,model,method,controller_family,monitoring_signal,run_name,is_baseline,is_old_copy,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size_single_gpu,epochs_configured,beta,alpha,gamma,retain_loss_type,sampling_policy,retain_policy_after_stop,forget_loss_denominator,rebound_semantics,moving_average_window,criterion_threshold,stop_ratio_threshold,absolute_nll_gain_threshold,second_difference_tau,second_difference_window,warm_up_epochs,stop_patience,rebound_ratio_threshold,rebound_delta,reactivation_patience,stability_checks,forced_control,forget_quality,model_utility,forget_truth_ratio,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,privleak,final_active_samples,final_stopped_samples,stop_events,reactivation_events,saved_forget_instances,saved_forget_instances_pct_of_10epoch_budget,trajectory_final_epoch,trainer_completed_epoch,global_step,train_runtime_seconds,train_runtime_minutes,summary_json,trajectory_file,trainer_state_json,run_directory
forget10,400,Llama-2-7b-chat-hf,NPO,baseline,none,lr2e-5_b4_ga2_e10,True,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,baseline_mean,none,,,,,,,,,,,,,,9.532297003e-05,0.6320185941,0.6082546559,0.6955229723,0.08237050139,0.06032113023,0.3651791905,10.82459519,,,,,,,,10,500,3164.6735,52.74455833,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10/eval/TOFU_SUMMARY.json,,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,1.8,,1.8,,,2,1,,0.2,2,,,0.001024214776,0.6242626608,0.6284743966,0.6826749046,0.1077585893,0.07473704338,0.335514173,-11.57663579,24,376,398,22,2371,59.275,10,10,500,3229.7931,53.829885,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,2.0,,2,,,2,1,,0.2,2,,,3.913229651e-08,0.6251799512,0.5904403279,0.7660661039,0.1235318888,0.08743953705,0.4254779305,-31.74773012,56,344,361,17,2066,51.65,10,10,500,3052.7409,50.879015,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,2.2,,2.2,,,2,1,,0.2,2,,,1.06550539e-08,0.6203180985,0.582956875,0.7648305276,0.1267046214,0.08361792088,0.4206132105,-28.69167354,93,307,332,25,1886,47.15,10,10,500,3106.44,51.774,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,normalized_nll_second_difference,normalized_nll_second_difference,lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,0.1,,,0.1,3,,,,,,,,0.0005832940307,0.62779384,0.6105339424,0.7077939263,0.0892081115,0.06395946831,0.390586157,3.279223095,146,254,254,0,162,4.05,10,10,481,2962.9899,49.383165,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/ies_normalized_nll_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,normalized_nll_second_difference,normalized_nll_second_difference,lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,0.12,,,0.12,3,,,,,,,,0.0007748993373,0.6277867468,0.6092297337,0.7059136363,0.08836479296,0.06345195115,0.3856203283,4.164755994,84,316,316,0,235,5.875,10,10,472,2908.489,48.47481667,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/ies_normalized_nll_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,normalized_nll_second_difference,normalized_nll_second_difference,lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.15,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,0.15,,,0.15,3,,,,,,,,0.0005832940307,0.6284476382,0.6085807846,0.7058555697,0.08762667552,0.06322161317,0.3885557617,3.926304097,71,329,329,0,305,7.625,10,10,463,2854.5262,47.57543667,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.15/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.15/ies_normalized_nll_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.15/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.15
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,normalized_nll_second_difference,normalized_nll_second_difference,lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.18,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,0.18,,,0.18,3,,,,,,,,0.0001305755477,0.6268446739,0.6071511894,0.7082897921,0.08851402943,0.06399808735,0.3968453347,2.959758694,46,354,354,0,399,9.975,10,10,452,2787.727,46.46211667,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.18/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.18/ies_normalized_nll_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.18/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.18
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,npo_loss_second_difference,per_sample_npo_loss_second_difference,lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-4_stable2,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,1e-4,,,1e-4,,,,,,,2,,0.0004368337392,0.6258167913,0.6094237505,0.7060170019,0.08666591518,0.06225446671,0.3909869419,4.949405398,103,297,297,0,511,12.775,10,10,438,2713.0273,45.21712167,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-4_stable2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-4_stable2/ies_npo_loss_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-4_stable2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-4_stable2
forget10,400,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,npo_loss_second_difference,per_sample_npo_loss_second_difference,lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-5_stable2,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,1e-5,,,1e-5,,,,,,,2,,0.0005832940307,0.6274427671,0.6081189808,0.7078241021,0.08958342163,0.0638149935,0.3910823066,3.700080502,237,163,163,0,248,6.2,10,10,470,2938.6167,48.976945,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-5_stable2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-5_stable2/ies_npo_loss_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-5_stable2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_npoloss_irreversible_tau1e-5_stable2
