split,num_forget_samples,model,method,controller_family,monitoring_signal,run_name,is_baseline,is_old_copy,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size_single_gpu,epochs_configured,beta,alpha,gamma,retain_loss_type,sampling_policy,retain_policy_after_stop,forget_loss_denominator,rebound_semantics,moving_average_window,criterion_threshold,stop_ratio_threshold,absolute_nll_gain_threshold,second_difference_tau,second_difference_window,warm_up_epochs,stop_patience,rebound_ratio_threshold,rebound_delta,reactivation_patience,stability_checks,forced_control,forget_quality,model_utility,forget_truth_ratio,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,privleak,final_active_samples,final_stopped_samples,stop_events,reactivation_events,saved_forget_instances,saved_forget_instances_pct_of_10epoch_budget,trajectory_final_epoch,trainer_completed_epoch,global_step,train_runtime_seconds,train_runtime_minutes,summary_json,trajectory_file,trainer_state_json,run_directory
forget05,200,Llama-2-7b-chat-hf,NPO,baseline,none,lr2e-5_b4_ga2_e10,True,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,baseline_mean,none,,,,,,,,,,,,,,0.006094418259,0.6382783555,0.6168711411,0.6935873033,0.07807452085,0.07342094421,0.3253912602,19.04193001,,,,,,,,10,250,1758.8804,29.31467333,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10/eval/TOFU_SUMMARY.json,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr2e-5_b4_ga2_e10
forget05,200,Llama-2-7b-chat-hf,NPO,baseline,none,lr5e-5_b4_ga2_e10,True,False,5e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,baseline_mean,none,,,,,,,,,,,,,,0.06801920461,0.5845485581,0.6599950395,0.4960670102,0.05168086219,0.02966104422,0.2232571271,50.30060119,,,,,,,,10,250,1608.5639,26.80939833,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b4_ga2_e10/eval/TOFU_SUMMARY.json,,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b4_ga2_e10/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/NPO/lr5e-5_b4_ga2_e10
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr1e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,False,False,1e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,1.8,,1.8,,,2,1,,0.2,2,,,2.443745771e-10,0.5699244042,0.5467672159,0.9167690918,0.3418074063,0.2728674316,0.5657322142,-92.176661,171,29,49,20,214,10.7,10,10,250,1602.6417,26.710695,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,False,False,1e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,2.0,,2,,,2,1,,0.2,2,,,5.951062636e-11,0.5678893971,0.5464389599,0.9202626547,0.3576305512,0.2850085449,0.5650869015,-92.73547093,188,12,28,16,117,5.85,10,10,250,1620.6872,27.01145333,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,False,False,1e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,2.2,,2.2,,,2,1,,0.2,2,,,1.385084006e-11,0.569092442,0.5463605817,0.9223865098,0.3629623562,0.2863098145,0.5783666505,-92.94743331,190,10,17,7,92,4.6,10,10,250,1602.8073,26.713455,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr1e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,1.8,,1.8,,,2,1,,,,,,0.2205412176,0.620947168,0.6502572837,0.7029948603,0.07936464364,0.1272203064,0.3027842469,-3.507014028,13,187,187,0,1266,63.3,10,10,250,1510.7252,25.17875333,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,1.8,,1.8,,,2,1,,0.2,2,,,0.3281154441,0.6225434121,0.6483230435,0.697138595,0.08065561404,0.1168978119,0.2987591226,1.587790966,29,171,190,19,1225,61.25,10,10,250,1501.3873,25.02312167,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,2.0,,2,,,2,1,,,,,,0.2704743833,0.6234860441,0.6432177312,0.6998852782,0.07960303719,0.124728241,0.3101370503,-4.821180822,30,170,170,0,1144,57.2,10,10,250,1503.832,25.06386667,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,2.0,,2,,,2,1,,0.2,2,,,0.3281154441,0.6215336601,0.6421780835,0.6881778835,0.07825963437,0.1059693527,0.2968811104,5.37999075,46,154,178,24,1116,55.8,10,10,250,1516.0598,25.26766333,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,2.2,,2.2,,,2,1,,,,,,0.1420746515,0.6225002747,0.6464809046,0.6986270747,0.07874592119,0.1173929596,0.3294411647,2.150454755,44,156,156,0,1037,51.85,10,10,250,1519.2585,25.320975,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,absolute_normalized_nll_gain,normalized_nll_minus_initial,lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,gain_threshold_minus_delta,,2.2,,2.2,,,2,1,,0.2,2,,,0.1122836029,0.6197713862,0.6413086187,0.6844822849,0.07839447448,0.1008784676,0.307185179,9.522891936,66,134,166,32,1004,50.2,10,10,250,1521.1866,25.35311,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/ies_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,normalized_nll_second_difference,normalized_nll_second_difference,lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,0.1,,,0.1,3,,,,,,,,0.3281154441,0.6417563589,0.6467023504,0.661571741,0.06844616036,0.06505482674,0.2867617382,30.39155233,25,175,175,0,95,4.75,10,10,240,1483.5245,24.72540833,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/ies_normalized_nll_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.1
forget05,200,Llama-2-7b-chat-hf,SampleEarlyStopNPOLossIrreversible,normalized_nll_second_difference,normalized_nll_second_difference,lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12,False,False,2e-5,4,2,8,10,0.1,1,1,NLL,forget_anchor_random_retain,full_retain,fixed_original_batch,none_irreversible,,0.12,,,0.12,3,,,,,,,,0.3281154441,0.6414567334,0.6472757124,0.6608574782,0.06787382939,0.06513354301,0.2777244388,30.42623708,17,183,183,0,120,6,10,10,237,1464.7829,24.41304833,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/ies_normalized_nll_irreversible_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget05/Llama-2-7b-chat-hf/SampleEarlyStopNPOLossIrreversible/lr2e-5_b4_ga2_e10_ies_normnll_irreversible_d2absmean3_tau0.12
