split,model,method,variant,run,lr,batch_size,gradient_accumulation,epochs,beta,delta,gamma,moving_average_window,stop_ratio_threshold,gain_threshold,rebound_ratio_threshold,global_step,final_train_epoch,train_runtime_seconds,forget_quality,model_utility,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_truth_ratio,privleak,summary_path
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,1e-5,4,2,10,3.5,1,0.25,,,1.8,0.2,500,10.0,644.307,5.137999089404319e-16,0.6172078990954769,0.8262072560191155,0.14787852965189477,0.153173828125,0.425746869098612,0.5423682611629851,-48.6350157360097,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,1e-5,4,2,10,3.5,1,0.25,,,2.0,0.2,500,10.0,643.007,3.277026375806354e-14,0.6132681358334389,0.8226653149724007,0.1408917545551981,0.14466018676757814,0.41509688006212964,0.5466352503580485,-42.674737339296705,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,1e-5,4,2,10,3.5,1,0.25,,,2.2,0.2,500,10.0,668.0529,1.8397341057158477e-14,0.619370640246085,0.8178906440734863,0.1471517737020279,0.14296310424804687,0.42859616812336093,0.5451371735529935,-40.013043516042416,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr1e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,2e-5,4,2,10,3.5,1,0.25,,,1.8,0.2,500,10.0,546.9482,0.0022938851536275073,0.6412015859789014,0.5985168921202422,0.05729427982828771,0.04203664317727089,0.2614436733397575,0.5928621386842292,44.48146901947659,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,2e-5,4,2,10,3.5,1,0.25,,,2.0,0.2,500,10.0,544.7847,0.00794521285574355,0.6302498906715903,0.5711686497554183,0.04950137413801701,0.03298362970352173,0.24006691378016207,0.5998449991134759,49.999490479247626,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,2e-5,4,2,10,3.5,1,0.25,,,2.2,0.2,500,10.0,546.0586,0.0013468720321565051,0.6204206244913119,0.5731757150962948,0.04856528415097892,0.031976003497838974,0.2468547976398879,0.5941168576434877,50.550783112624586,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b4_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.125,,,1.8,0.2,250,10.0,382.2353,1.6027740307205098e-12,0.6360571514106428,0.7419883495569229,0.09305079450014184,0.08215859651565552,0.34821116786285544,0.5532838285806612,10.021093820016343,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.125,,,2.0,0.2,250,10.0,383.8522,1.0973970510505411e-09,0.6309762259319686,0.7041072239726782,0.0795422943550991,0.07013004660606384,0.3274223275361608,0.5606282691166558,19.801697692755464,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.125,,,2.2,0.2,250,10.0,389.743,4.360395687512671e-09,0.6281593859706819,0.6734277625381947,0.07466404839339959,0.059872106313705445,0.3058257025477866,0.5515350923711575,29.04068967152078,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.25,,,1.8,0.2,250,10.0,366.5802,4.2606809322061477e-10,0.6289390129400482,0.7403603841364383,0.10264242121649192,0.0758747673034668,0.349303539265432,0.56268897869698,13.806772439231374,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.25,,,2.0,0.2,250,10.0,366.8414,2.7675164465641644e-09,0.6302111478676437,0.7410466222465039,0.09730733909771583,0.06977643489837647,0.3480524942046437,0.5675199635462062,19.55560310687649,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,2,10,3.5,1,0.25,,,2.2,0.2,250,10.0,371.614,4.360395687512671e-09,0.6311097285479861,0.7380459262430668,0.10612732654392737,0.06886531829833985,0.3359032392259286,0.5694348063174206,21.756188026982777,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga2_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga4_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,4,10,3.5,1,0.125,,,1.8,0.2,120,9.24,396.6658,1.730834713171486e-15,0.6273845982568874,0.8580229109525681,0.19874844115964543,0.22501174926757814,0.4685841278925569,0.5355997285202253,-66.17243943363846,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga4_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,4,10,3.5,1,0.125,,,2.0,0.2,120,9.24,403.9894,3.277026375806354e-14,0.6226349370069107,0.8540075238049031,0.18558854004388103,0.21274543762207032,0.4696051839632538,0.5385555177419101,-62.406122293229615,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga4_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,4,10,3.5,1,0.125,,,2.2,0.2,120,9.24,412.1112,1.02724452984523e-14,0.6201685606930081,0.8549296772480011,0.18987913439072757,0.20987815856933595,0.46986953357136924,0.535677269203775,-61.88438139066215,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta3.5_delta1_gamma0.125_e10_ies_simnpo_normnll_gain_ge2.2_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga4_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,4,10,3.5,1,0.25,,,1.8,0.2,120,9.24,347.4132,9.906736183347326e-11,0.6252551390417437,0.8314899332821369,0.1574919742199575,0.13190834045410157,0.42346038525338714,0.5582466534089491,-37.34625456678651,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge1.8_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
forget10,Llama-2-7b-chat-hf,SampleEarlyStopSimNPOIrreversible,absolute_nll_gain,lr2e-5_b8_ga4_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2,2e-5,8,4,10,3.5,1,0.25,,,2.0,0.2,120,9.24,362.1389,3.647961791830168e-11,0.6293767359605004,0.8266217163205147,0.15405913273487953,0.12182243347167969,0.42189008710286097,0.5567736694407239,-30.38325537295169,/unlearning/experment_data/checkpoints/tofu/forget10/Llama-2-7b-chat-hf/SampleEarlyStopSimNPOIrreversible/lr2e-5_b8_ga4_beta3.5_delta1_gamma0.25_e10_ies_simnpo_normnll_gain_ge2.0_warm2_patience1_rebounddelta0.2_rpat2/eval/TOFU_SUMMARY.json
